IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
162.159.128.96,443,443,TRUE,SJC,North America,San Jose,158,20
162.159.129.165,443,443,TRUE,SJC,North America,San Jose,167,20
162.159.130.166,443,443,TRUE,SJC,North America,San Jose,162,20
162.159.129.88,443,443,TRUE,SJC,North America,San Jose,163,20
162.159.128.113,443,443,TRUE,SJC,North America,San Jose,158,20
162.159.130.97,443,443,TRUE,SJC,North America,San Jose,163,20
162.159.129.35,443,443,TRUE,SJC,North America,San Jose,160,20
162.159.128.6,443,443,TRUE,SJC,North America,San Jose,187,20
162.159.129.119,443,443,TRUE,SJC,North America,San Jose,160,20
162.159.130.96,443,443,TRUE,SJC,North America,San Jose,154,20
162.159.133.126,443,443,TRUE,SJC,North America,San Jose,155,20
162.159.134.178,443,443,TRUE,SJC,North America,San Jose,163,20
162.159.134.121,443,443,TRUE,SJC,North America,San Jose,155,20
162.159.133.39,443,443,TRUE,SJC,North America,San Jose,155,20
162.159.134.204,443,443,TRUE,SJC,North America,San Jose,166,20
162.159.135.163,443,443,TRUE,SJC,North America,San Jose,158,20
162.159.135.48,443,443,TRUE,SJC,North America,San Jose,157,20
162.159.135.178,443,443,TRUE,SJC,North America,San Jose,169,20
162.159.130.178,443,443,TRUE,SJC,North America,San Jose,171,20
162.159.133.207,443,443,TRUE,SJC,North America,San Jose,154,20
162.159.136.126,443,443,TRUE,SJC,North America,San Jose,168,20
162.159.137.173,443,443,TRUE,SJC,North America,San Jose,159,20
162.159.138.103,443,443,TRUE,SJC,North America,San Jose,158,20
162.159.137.127,443,443,TRUE,SJC,North America,San Jose,162,20
162.159.135.205,443,443,TRUE,SJC,North America,San Jose,154,20
162.159.137.143,443,443,TRUE,SJC,North America,San Jose,164,20
162.159.138.154,443,443,TRUE,SJC,North America,San Jose,155,20
162.159.138.81,443,443,TRUE,SJC,North America,San Jose,154,20
162.159.136.140,443,443,TRUE,SJC,North America,San Jose,172,20
162.159.137.195,443,443,TRUE,SJC,North America,San Jose,161,20
162.159.143.130,443,443,TRUE,SJC,North America,San Jose,157,20
162.159.143.129,443,443,TRUE,SJC,North America,San Jose,159,20
162.159.142.94,443,443,TRUE,SJC,North America,San Jose,169,20
162.159.138.174,443,443,TRUE,SJC,North America,San Jose,158,20
162.159.141.123,443,443,TRUE,SJC,North America,San Jose,159,20
162.159.143.95,443,443,TRUE,SJC,North America,San Jose,169,20
162.159.142.74,443,443,TRUE,SJC,North America,San Jose,167,20
162.159.141.199,443,443,TRUE,SJC,North America,San Jose,157,20
162.159.138.163,443,443,TRUE,SJC,North America,San Jose,155,20
162.159.142.117,443,443,TRUE,SJC,North America,San Jose,174,20
162.159.152.205,443,443,TRUE,SJC,North America,San Jose,181,20
104.16.6.169,443,443,TRUE,SJC,North America,San Jose,151,20
104.18.254.230,443,443,TRUE,SJC,North America,San Jose,151,20
162.159.143.146,443,443,TRUE,SJC,North America,San Jose,198,20
104.18.254.157,443,443,TRUE,SJC,North America,San Jose,151,20
162.159.152.148,443,443,TRUE,SJC,North America,San Jose,153,20
162.159.143.166,443,443,TRUE,SJC,North America,San Jose,176,20
162.159.152.158,443,443,TRUE,SJC,North America,San Jose,154,20
162.159.152.98,443,443,TRUE,SJC,North America,San Jose,165,20
162.159.153.132,443,443,TRUE,SJC,North America,San Jose,163,20
172.67.120.169,443,443,TRUE,IAD,North America,Ashburn,222,20
172.67.120.185,443,443,TRUE,IAD,North America,Ashburn,244,20
104.22.6.149,443,443,TRUE,IAD,North America,Ashburn,220,20
104.19.208.191,443,443,TRUE,SJC,North America,San Jose,150,20
172.67.120.142,443,443,TRUE,IAD,North America,Ashburn,229,20
172.67.121.143,443,443,TRUE,IAD,North America,Ashburn,214,20
104.31.16.26,443,443,TRUE,SJC,North America,San Jose,152,20
172.67.121.173,443,443,TRUE,IAD,North America,Ashburn,227,20
172.67.120.97,443,443,TRUE,IAD,North America,Ashburn,220,20
172.67.120.129,443,443,TRUE,IAD,North America,Ashburn,225,20
172.67.123.244,443,443,TRUE,IAD,North America,Ashburn,232,20
172.67.125.58,443,443,TRUE,IAD,North America,Ashburn,226,20
172.67.123.236,443,443,TRUE,IAD,North America,Ashburn,228,20
172.67.123.246,443,443,TRUE,IAD,North America,Ashburn,235,20
172.67.122.228,443,443,TRUE,IAD,North America,Ashburn,225,20
172.67.124.232,443,443,TRUE,IAD,North America,Ashburn,233,20
172.67.124.248,443,443,TRUE,IAD,North America,Ashburn,208,20
172.67.123.227,443,443,TRUE,IAD,North America,Ashburn,215,20
172.67.123.187,443,443,TRUE,IAD,North America,Ashburn,218,20
172.67.125.13,443,443,TRUE,IAD,North America,Ashburn,225,20
172.67.126.230,443,443,TRUE,IAD,North America,Ashburn,224,20
172.67.126.168,443,443,TRUE,IAD,North America,Ashburn,322,20
172.67.127.33,443,443,TRUE,IAD,North America,Ashburn,234,20
172.67.126.160,443,443,TRUE,IAD,North America,Ashburn,238,20
172.67.125.229,443,443,TRUE,IAD,North America,Ashburn,227,20
172.67.126.56,443,443,TRUE,IAD,North America,Ashburn,218,20
172.67.126.34,443,443,TRUE,IAD,North America,Ashburn,210,20
172.67.126.14,443,443,TRUE,IAD,North America,Ashburn,230,20
172.67.127.56,443,443,TRUE,IAD,North America,Ashburn,226,20
172.67.127.125,443,443,TRUE,IAD,North America,Ashburn,225,20
172.67.129.216,443,443,TRUE,LHR,Europe,London,197,20
172.67.129.153,443,443,TRUE,LHR,Europe,London,207,20
172.67.129.129,443,443,TRUE,LHR,Europe,London,240,20
172.67.129.201,443,443,TRUE,LHR,Europe,London,221,20
172.67.129.85,443,443,TRUE,LHR,Europe,London,213,20
172.67.129.119,443,443,TRUE,LHR,Europe,London,211,20
172.67.129.25,443,443,TRUE,LHR,Europe,London,227,20
172.67.129.24,443,443,TRUE,LHR,Europe,London,209,20
172.67.129.72,443,443,TRUE,LHR,Europe,London,242,20
172.67.129.200,443,443,TRUE,LHR,Europe,London,211,20
172.67.133.135,443,443,TRUE,LHR,Europe,London,221,20
172.67.132.134,443,443,TRUE,LHR,Europe,London,200,20
172.67.133.1,443,443,TRUE,LHR,Europe,London,221,20
172.67.133.116,443,443,TRUE,LHR,Europe,London,212,20
172.67.130.83,443,443,TRUE,LHR,Europe,London,197,20
172.67.133.178,443,443,TRUE,LHR,Europe,London,192,20
172.67.131.167,443,443,TRUE,LHR,Europe,London,223,20
172.67.130.149,443,443,TRUE,LHR,Europe,London,203,20
172.67.129.192,443,443,TRUE,LHR,Europe,London,244,20
172.67.132.157,443,443,TRUE,LHR,Europe,London,251,20
172.67.139.62,443,443,TRUE,LHR,Europe,London,220,20
172.67.139.237,443,443,TRUE,LHR,Europe,London,229,20
172.67.137.173,443,443,TRUE,LHR,Europe,London,220,20
172.67.134.95,443,443,TRUE,LHR,Europe,London,222,20
172.67.139.46,443,443,TRUE,LHR,Europe,London,207,20
172.67.139.140,443,443,TRUE,LHR,Europe,London,202,20
172.67.138.94,443,443,TRUE,LHR,Europe,London,210,20
172.67.137.91,443,443,TRUE,LHR,Europe,London,220,20
172.67.134.22,443,443,TRUE,LHR,Europe,London,209,20
172.67.137.139,443,443,TRUE,LHR,Europe,London,220,20
172.67.143.171,443,443,TRUE,LHR,Europe,London,207,20
172.67.140.84,443,443,TRUE,LHR,Europe,London,220,20
172.67.140.142,443,443,TRUE,LHR,Europe,London,198,20
172.67.141.143,443,443,TRUE,LHR,Europe,London,225,20
